分拣中心,日期,小时,货量
SC21,2023-12-20,2,154.68806
SC21,2023-12-20,3,154.68806
SC21,2023-12-20,4,154.68806
SC21,2023-12-20,5,154.68806
SC21,2023-12-20,6,154.68806
SC21,2023-12-20,7,154.68806
SC21,2023-12-20,8,154.68806
SC21,2023-12-20,9,154.68806
SC21,2023-12-20,10,154.68806
SC21,2023-12-20,11,154.68806
SC21,2023-12-20,12,154.68806
SC21,2023-12-20,13,154.68806
SC21,2023-12-20,14,154.68806
SC21,2023-12-20,15,154.68806
SC21,2023-12-20,16,154.68806
SC21,2023-12-20,17,154.68806
SC21,2023-12-20,18,154.68806
SC21,2023-12-20,19,154.68806
SC21,2023-12-20,20,154.68806
SC21,2023-12-20,21,154.68806
SC21,2023-12-20,22,154.68806
SC21,2023-12-20,23,154.68806
SC21,2023-12-21,0,154.68806
SC21,2023-12-21,1,154.68806
SC21,2023-12-21,2,154.68806
SC21,2023-12-21,3,154.68806
SC21,2023-12-21,4,154.68806
SC21,2023-12-21,5,154.68806
SC21,2023-12-21,6,154.68806
SC21,2023-12-21,7,154.68806
SC21,2023-12-21,8,154.68806
SC21,2023-12-21,9,154.68806
SC21,2023-12-21,10,154.68806
SC21,2023-12-21,11,154.68806
SC21,2023-12-21,12,154.68806
SC21,2023-12-21,13,154.68806
SC21,2023-12-21,14,154.68806
SC21,2023-12-21,15,154.68806
SC21,2023-12-21,16,154.68806
SC21,2023-12-21,17,154.68806
SC21,2023-12-21,18,154.68806
SC21,2023-12-21,19,154.68806
SC21,2023-12-21,20,154.68806
SC21,2023-12-21,21,154.68806
SC21,2023-12-21,22,154.68806
SC21,2023-12-21,23,154.68806
SC21,2023-12-22,0,154.68806
SC21,2023-12-22,1,154.68806
SC21,2023-12-22,2,154.68806
SC21,2023-12-22,3,154.68806
SC21,2023-12-22,4,154.68806
SC21,2023-12-22,5,154.68806
SC21,2023-12-22,6,154.68806
SC21,2023-12-22,7,154.68806
SC21,2023-12-22,8,154.68806
SC21,2023-12-22,9,154.68806
SC21,2023-12-22,10,154.68806
SC21,2023-12-22,11,154.68806
SC21,2023-12-22,12,154.68806
SC21,2023-12-22,13,154.68806
SC21,2023-12-22,14,154.68806
SC21,2023-12-22,15,154.68806
SC21,2023-12-22,16,154.68806
SC21,2023-12-22,17,154.68806
SC21,2023-12-22,18,154.68806
SC21,2023-12-22,19,154.68806
SC21,2023-12-22,20,154.68806
SC21,2023-12-22,21,154.68806
SC21,2023-12-22,22,154.68806
SC21,2023-12-22,23,154.68806
SC21,2023-12-23,0,154.68806
SC21,2023-12-23,1,154.68806
SC21,2023-12-23,2,154.68806
SC21,2023-12-23,3,154.68806
SC21,2023-12-23,4,154.68806
SC21,2023-12-23,5,154.68806
SC21,2023-12-23,6,154.68806
SC21,2023-12-23,7,154.68806
SC21,2023-12-23,8,154.68806
SC21,2023-12-23,9,154.68806
SC21,2023-12-23,10,154.68806
SC21,2023-12-23,11,154.68806
SC21,2023-12-23,12,154.68806
SC21,2023-12-23,13,154.68806
SC21,2023-12-23,14,154.68806
SC21,2023-12-23,15,154.68806
SC21,2023-12-23,16,154.68806
SC21,2023-12-23,17,154.68806
SC21,2023-12-23,18,154.68806
SC21,2023-12-23,19,154.68806
SC21,2023-12-23,20,154.68806
SC21,2023-12-23,21,154.68806
SC21,2023-12-23,22,154.68806
SC21,2023-12-23,23,154.68806
SC21,2023-12-24,0,154.68806
SC21,2023-12-24,1,154.68806
SC21,2023-12-24,2,154.68806
SC21,2023-12-24,3,154.68806
SC21,2023-12-24,4,154.68806
SC21,2023-12-24,5,154.68806
SC21,2023-12-24,6,154.68806
SC21,2023-12-24,7,154.68806
SC21,2023-12-24,8,154.68806
SC21,2023-12-24,9,154.68806
SC21,2023-12-24,10,154.68806
SC21,2023-12-24,11,154.68806
SC21,2023-12-24,12,154.68806
SC21,2023-12-24,13,154.68806
SC21,2023-12-24,14,154.68806
SC21,2023-12-24,15,154.68806
SC21,2023-12-24,16,154.68806
SC21,2023-12-24,17,154.68806
SC21,2023-12-24,18,154.68806
SC21,2023-12-24,19,154.68806
SC21,2023-12-24,20,154.68806
SC21,2023-12-24,21,154.68806
SC21,2023-12-24,22,154.68806
SC21,2023-12-24,23,154.68806
SC21,2023-12-25,0,154.68806
SC21,2023-12-25,1,154.68806
SC21,2023-12-25,2,154.68806
SC21,2023-12-25,3,154.68806
SC21,2023-12-25,4,154.68806
SC21,2023-12-25,5,154.68806
SC21,2023-12-25,6,154.68806
SC21,2023-12-25,7,154.68806
SC21,2023-12-25,8,154.68806
SC21,2023-12-25,9,154.68806
SC21,2023-12-25,10,154.68806
SC21,2023-12-25,11,154.68806
SC21,2023-12-25,12,154.68806
SC21,2023-12-25,13,154.68806
SC21,2023-12-25,14,154.68806
SC21,2023-12-25,15,154.68806
SC21,2023-12-25,16,154.68806
SC21,2023-12-25,17,154.68806
SC21,2023-12-25,18,154.68806
SC21,2023-12-25,19,154.68806
SC21,2023-12-25,20,154.68806
SC21,2023-12-25,21,154.68806
SC21,2023-12-25,22,154.68806
SC21,2023-12-25,23,154.68806
SC21,2023-12-26,0,154.68806
SC21,2023-12-26,1,154.68806
SC21,2023-12-26,2,154.68806
SC21,2023-12-26,3,154.68806
SC21,2023-12-26,4,154.68806
SC21,2023-12-26,5,154.68806
SC21,2023-12-26,6,154.68806
SC21,2023-12-26,7,154.68806
SC21,2023-12-26,8,154.68806
SC21,2023-12-26,9,154.68806
SC21,2023-12-26,10,154.68806
SC21,2023-12-26,11,154.68806
SC21,2023-12-26,12,154.68806
SC21,2023-12-26,13,154.68806
SC21,2023-12-26,14,154.68806
SC21,2023-12-26,15,154.68806
SC21,2023-12-26,16,154.68806
SC21,2023-12-26,17,154.68806
SC21,2023-12-26,18,154.68806
SC21,2023-12-26,19,154.68806
SC21,2023-12-26,20,154.68806
SC21,2023-12-26,21,154.68806
SC21,2023-12-26,22,154.68806
SC21,2023-12-26,23,154.68806
SC21,2023-12-27,0,154.68806
SC21,2023-12-27,1,154.68806
SC21,2023-12-27,2,154.68806
SC21,2023-12-27,3,154.68806
SC21,2023-12-27,4,154.68806
SC21,2023-12-27,5,154.68806
SC21,2023-12-27,6,154.68806
SC21,2023-12-27,7,154.68806
SC21,2023-12-27,8,154.68806
SC21,2023-12-27,9,154.68806
SC21,2023-12-27,10,154.68806
SC21,2023-12-27,11,154.68806
SC21,2023-12-27,12,154.68806
SC21,2023-12-27,13,154.68806
SC21,2023-12-27,14,154.68806
SC21,2023-12-27,15,154.68806
SC21,2023-12-27,16,154.68806
SC21,2023-12-27,17,154.68806
SC21,2023-12-27,18,154.68806
SC21,2023-12-27,19,154.68806
SC21,2023-12-27,20,154.68806
SC21,2023-12-27,21,154.68806
SC21,2023-12-27,22,154.68806
SC21,2023-12-27,23,154.68806
SC21,2023-12-28,0,154.68806
SC21,2023-12-28,1,154.68806
SC21,2023-12-28,2,154.68806
SC21,2023-12-28,3,154.68806
SC21,2023-12-28,4,154.68806
SC21,2023-12-28,5,154.68806
SC21,2023-12-28,6,154.68806
SC21,2023-12-28,7,154.68806
SC21,2023-12-28,8,154.68806
SC21,2023-12-28,9,154.68806
SC21,2023-12-28,10,154.68806
SC21,2023-12-28,11,154.68806
SC21,2023-12-28,12,154.68806
SC21,2023-12-28,13,154.68806
SC21,2023-12-28,14,154.68806
SC21,2023-12-28,15,154.68806
SC21,2023-12-28,16,154.68806
SC21,2023-12-28,17,154.68806
SC21,2023-12-28,18,154.68806
SC21,2023-12-28,19,154.68806
SC21,2023-12-28,20,154.68806
SC21,2023-12-28,21,154.68806
SC21,2023-12-28,22,154.68806
SC21,2023-12-28,23,154.68806
SC21,2023-12-29,0,154.68806
SC21,2023-12-29,1,154.68806
SC21,2023-12-29,2,154.68806
SC21,2023-12-29,3,154.68806
SC21,2023-12-29,4,154.68806
SC21,2023-12-29,5,154.68806
SC21,2023-12-29,6,154.68806
SC21,2023-12-29,7,154.68806
SC21,2023-12-29,8,154.68806
SC21,2023-12-29,9,154.68806
SC21,2023-12-29,10,154.68806
SC21,2023-12-29,11,154.68806
SC21,2023-12-29,12,154.68806
SC21,2023-12-29,13,154.68806
SC21,2023-12-29,14,154.68806
SC21,2023-12-29,15,154.68806
SC21,2023-12-29,16,154.68806
SC21,2023-12-29,17,154.68806
SC21,2023-12-29,18,154.68806
SC21,2023-12-29,19,154.68806
SC21,2023-12-29,20,154.68806
SC21,2023-12-29,21,154.68806
SC21,2023-12-29,22,154.68806
SC21,2023-12-29,23,154.68806
SC21,2023-12-30,0,154.68806
SC21,2023-12-30,1,154.68806
SC21,2023-12-30,2,154.68806
SC21,2023-12-30,3,154.68806
SC21,2023-12-30,4,154.68806
SC21,2023-12-30,5,154.68806
SC21,2023-12-30,6,154.68806
SC21,2023-12-30,7,154.68806
SC21,2023-12-30,8,154.68806
SC21,2023-12-30,9,154.68806
SC21,2023-12-30,10,154.68806
SC21,2023-12-30,11,154.68806
SC21,2023-12-30,12,154.68806
SC21,2023-12-30,13,154.68806
SC21,2023-12-30,14,154.68806
SC21,2023-12-30,15,154.68806
SC21,2023-12-30,16,154.68806
SC21,2023-12-30,17,154.68806
SC21,2023-12-30,18,154.68806
SC21,2023-12-30,19,154.68806
SC21,2023-12-30,20,154.68806
SC21,2023-12-30,21,154.68806
SC21,2023-12-30,22,154.68806
SC21,2023-12-30,23,154.68806
SC47,2023-12-01,0,3201.3855
SC47,2023-12-01,1,3051.4946
SC47,2023-12-01,2,2989.8108
SC47,2023-12-01,3,2858.2864
SC47,2023-12-01,4,2775.4424
SC47,2023-12-01,5,2684.782
SC47,2023-12-01,6,2623.7017
SC47,2023-12-01,7,2570.695
SC47,2023-12-01,8,2535.9583
SC47,2023-12-01,9,2510.0498
SC47,2023-12-01,10,2494.506
SC47,2023-12-01,11,2484.6155
SC47,2023-12-01,12,2479.7527
SC47,2023-12-01,13,2477.5327
SC47,2023-12-01,14,2477.239
SC47,2023-12-01,15,2477.7769
SC47,2023-12-01,16,2478.7654
SC47,2023-12-01,17,2479.791
SC47,2023-12-01,18,2480.7346
SC47,2023-12-01,19,2481.4927
SC47,2023-12-01,20,2482.069
SC47,2023-12-01,21,2482.4717
SC47,2023-12-01,22,2482.7375
SC47,2023-12-01,23,2482.898
SC47,2023-12-02,0,2482.9849
SC47,2023-12-02,1,2483.0234
SC47,2023-12-02,2,2483.032
SC47,2023-12-02,3,2483.025
SC47,2023-12-02,4,2483.0107
SC47,2023-12-02,5,2482.995
SC47,2023-12-02,6,2482.9802
SC47,2023-12-02,7,2482.9683
SC47,2023-12-02,8,2482.959
SC47,2023-12-02,9,2482.9524
SC47,2023-12-02,10,2482.948
SC47,2023-12-02,11,2482.9453
SC47,2023-12-02,12,2482.944
SC47,2023-12-02,13,2482.9434
SC47,2023-12-02,14,2482.9434
SC47,2023-12-02,15,2482.943
SC47,2023-12-02,16,2482.9436
SC47,2023-12-02,17,2482.9438
SC47,2023-12-02,18,2482.9436
SC47,2023-12-02,19,2482.9436
SC47,2023-12-02,20,2482.9436
SC47,2023-12-02,21,2482.9436
SC47,2023-12-02,22,2482.9436
SC47,2023-12-02,23,2482.9436
SC47,2023-12-03,0,2482.9436
SC47,2023-12-03,1,2482.9436
SC47,2023-12-03,2,2482.9436
SC47,2023-12-03,3,2482.9436
SC47,2023-12-03,4,2482.9436
SC47,2023-12-03,5,2482.9436
SC47,2023-12-03,6,2482.9436
SC47,2023-12-03,7,2482.9436
SC47,2023-12-03,8,2482.9436
SC47,2023-12-03,9,2482.9436
SC47,2023-12-03,10,2482.9436
SC47,2023-12-03,11,2482.9436
SC47,2023-12-03,12,2482.9436
SC47,2023-12-03,13,2482.9436
SC47,2023-12-03,14,2482.9436
SC47,2023-12-03,15,2482.9436
SC47,2023-12-03,16,2482.9436
SC47,2023-12-03,17,2482.9436
SC47,2023-12-03,18,2482.9436
SC47,2023-12-03,19,2482.9436
SC47,2023-12-03,20,2482.9436
SC47,2023-12-03,21,2482.9436
SC47,2023-12-03,22,2482.9436
SC47,2023-12-03,23,2482.9436
SC47,2023-12-04,0,2482.9436
SC47,2023-12-04,1,2482.9436
SC47,2023-12-04,2,2482.9436
SC47,2023-12-04,3,2482.9436
SC47,2023-12-04,4,2482.9436
SC47,2023-12-04,5,2482.9436
SC47,2023-12-04,6,2482.9436
SC47,2023-12-04,7,2482.9436
SC47,2023-12-04,8,2482.9436
SC47,2023-12-04,9,2482.9436
SC47,2023-12-04,10,2482.9436
SC47,2023-12-04,11,2482.9436
SC47,2023-12-04,12,2482.9436
SC47,2023-12-04,13,2482.9436
SC47,2023-12-04,14,2482.9436
SC47,2023-12-04,15,2482.9436
SC47,2023-12-04,16,2482.9436
SC47,2023-12-04,17,2482.9436
SC47,2023-12-04,18,2482.9436
SC47,2023-12-04,19,2482.9436
SC47,2023-12-04,20,2482.9436
SC47,2023-12-04,21,2482.9436
SC47,2023-12-04,22,2482.9436
SC47,2023-12-04,23,2482.9436
SC47,2023-12-05,0,2482.9436
SC47,2023-12-05,1,2482.9436
SC47,2023-12-05,2,2482.9436
SC47,2023-12-05,3,2482.9436
SC47,2023-12-05,4,2482.9436
SC47,2023-12-05,5,2482.9436
SC47,2023-12-05,6,2482.9436
SC47,2023-12-05,7,2482.9436
SC47,2023-12-05,8,2482.9436
SC47,2023-12-05,9,2482.9436
SC47,2023-12-05,10,2482.9436
SC47,2023-12-05,11,2482.9436
SC47,2023-12-05,12,2482.9436
SC47,2023-12-05,13,2482.9436
SC47,2023-12-05,14,2482.9436
SC47,2023-12-05,15,2482.9436
SC47,2023-12-05,16,2482.9436
SC47,2023-12-05,17,2482.9436
SC47,2023-12-05,18,2482.9436
SC47,2023-12-05,19,2482.9436
SC47,2023-12-05,20,2482.9436
SC47,2023-12-05,21,2482.9436
SC47,2023-12-05,22,2482.9436
SC47,2023-12-05,23,2482.9436
SC47,2023-12-06,0,2482.9436
SC47,2023-12-06,1,2482.9436
SC47,2023-12-06,2,2482.9436
SC47,2023-12-06,3,2482.9436
SC47,2023-12-06,4,2482.9436
SC47,2023-12-06,5,2482.9436
SC47,2023-12-06,6,2482.9436
SC47,2023-12-06,7,2482.9436
SC47,2023-12-06,8,2482.9436
SC47,2023-12-06,9,2482.9436
SC47,2023-12-06,10,2482.9436
SC47,2023-12-06,11,2482.9436
SC47,2023-12-06,12,2482.9436
SC47,2023-12-06,13,2482.9436
SC47,2023-12-06,14,2482.9436
SC47,2023-12-06,15,2482.9436
SC47,2023-12-06,16,2482.9436
SC47,2023-12-06,17,2482.9436
SC47,2023-12-06,18,2482.9436
SC47,2023-12-06,19,2482.9436
SC47,2023-12-06,20,2482.9436
SC47,2023-12-06,21,2482.9436
SC47,2023-12-06,22,2482.9436
SC47,2023-12-06,23,2482.9436
SC47,2023-12-07,0,2482.9436
SC47,2023-12-07,1,2482.9436
SC47,2023-12-07,2,2482.9436
SC47,2023-12-07,3,2482.9436
SC47,2023-12-07,4,2482.9436
SC47,2023-12-07,5,2482.9436
SC47,2023-12-07,6,2482.9436
SC47,2023-12-07,7,2482.9436
SC47,2023-12-07,8,2482.9436
SC47,2023-12-07,9,2482.9436
SC47,2023-12-07,10,2482.9436
SC47,2023-12-07,11,2482.9436
SC47,2023-12-07,12,2482.9436
SC47,2023-12-07,13,2482.9436
SC47,2023-12-07,14,2482.9436
SC47,2023-12-07,15,2482.9436
SC47,2023-12-07,16,2482.9436
SC47,2023-12-07,17,2482.9436
SC47,2023-12-07,18,2482.9436
SC47,2023-12-07,19,2482.9436
SC47,2023-12-07,20,2482.9436
SC47,2023-12-07,21,2482.9436
SC47,2023-12-07,22,2482.9436
SC47,2023-12-07,23,2482.9436
SC47,2023-12-08,0,2482.9436
SC47,2023-12-08,1,2482.9436
SC47,2023-12-08,2,2482.9436
SC47,2023-12-08,3,2482.9436
SC47,2023-12-08,4,2482.9436
SC47,2023-12-08,5,2482.9436
SC47,2023-12-08,6,2482.9436
SC47,2023-12-08,7,2482.9436
SC47,2023-12-08,8,2482.9436
SC47,2023-12-08,9,2482.9436
SC47,2023-12-08,10,2482.9436
SC47,2023-12-08,11,2482.9436
SC47,2023-12-08,12,2482.9436
SC47,2023-12-08,13,2482.9436
SC47,2023-12-08,14,2482.9436
SC47,2023-12-08,15,2482.9436
SC47,2023-12-08,16,2482.9436
SC47,2023-12-08,17,2482.9436
SC47,2023-12-08,18,2482.9436
SC47,2023-12-08,19,2482.9436
SC47,2023-12-08,20,2482.9436
SC47,2023-12-08,21,2482.9436
SC47,2023-12-08,22,2482.9436
SC47,2023-12-08,23,2482.9436
SC47,2023-12-09,0,2482.9436
SC47,2023-12-09,1,2482.9436
SC47,2023-12-09,2,2482.9436
SC47,2023-12-09,3,2482.9436
SC47,2023-12-09,4,2482.9436
SC47,2023-12-09,5,2482.9436
SC47,2023-12-09,6,2482.9436
SC47,2023-12-09,7,2482.9436
SC47,2023-12-09,8,2482.9436
SC47,2023-12-09,9,2482.9436
SC47,2023-12-09,10,2482.9436
SC47,2023-12-09,11,2482.9436
SC47,2023-12-09,12,2482.9436
SC47,2023-12-09,13,2482.9436
SC47,2023-12-09,14,2482.9436
SC47,2023-12-09,15,2482.9436
SC47,2023-12-09,16,2482.9436
SC47,2023-12-09,17,2482.9436
SC47,2023-12-09,18,2482.9436
SC47,2023-12-09,19,2482.9436
SC47,2023-12-09,20,2482.9436
SC47,2023-12-09,21,2482.9436
SC47,2023-12-09,22,2482.9436
SC47,2023-12-09,23,2482.9436
SC47,2023-12-10,0,2482.9436
SC47,2023-12-10,1,2482.9436
SC47,2023-12-10,2,2482.9436
SC47,2023-12-10,3,2482.9436
SC47,2023-12-10,4,2482.9436
SC47,2023-12-10,5,2482.9436
SC47,2023-12-10,6,2482.9436
SC47,2023-12-10,7,2482.9436
SC47,2023-12-10,8,2482.9436
SC47,2023-12-10,9,2482.9436
SC47,2023-12-10,10,2482.9436
SC47,2023-12-10,11,2482.9436
SC47,2023-12-10,12,2482.9436
SC47,2023-12-10,13,2482.9436
SC47,2023-12-10,14,2482.9436
SC47,2023-12-10,15,2482.9436
SC47,2023-12-10,16,2482.9436
SC47,2023-12-10,17,2482.9436
SC47,2023-12-10,18,2482.9436
SC47,2023-12-10,19,2482.9436
SC47,2023-12-10,20,2482.9436
SC47,2023-12-10,21,2482.9436
SC47,2023-12-10,22,2482.9436
SC47,2023-12-10,23,2482.9436
SC47,2023-12-11,0,2482.9436
SC47,2023-12-11,1,2482.9436
SC47,2023-12-11,2,2482.9436
SC47,2023-12-11,3,2482.9436
SC47,2023-12-11,4,2482.9436
SC47,2023-12-11,5,2482.9436
SC47,2023-12-11,6,2482.9436
SC47,2023-12-11,7,2482.9436
SC47,2023-12-11,8,2482.9436
SC47,2023-12-11,9,2482.9436
SC47,2023-12-11,10,2482.9436
SC47,2023-12-11,11,2482.9436
SC47,2023-12-11,12,2482.9436
SC47,2023-12-11,13,2482.9436
SC47,2023-12-11,14,2482.9436
SC47,2023-12-11,15,2482.9436
SC47,2023-12-11,16,2482.9436
SC47,2023-12-11,17,2482.9436
SC47,2023-12-11,18,2482.9436
SC47,2023-12-11,19,2482.9436
SC47,2023-12-11,20,2482.9436
SC47,2023-12-11,21,2482.9436
SC47,2023-12-11,22,2482.9436
SC47,2023-12-11,23,2482.9436
SC47,2023-12-12,0,2482.9436
SC47,2023-12-12,1,2482.9436
SC47,2023-12-12,2,2482.9436
SC47,2023-12-12,3,2482.9436
SC47,2023-12-12,4,2482.9436
SC47,2023-12-12,5,2482.9436
SC47,2023-12-12,6,2482.9436
SC47,2023-12-12,7,2482.9436
SC47,2023-12-12,8,2482.9436
SC47,2023-12-12,9,2482.9436
SC47,2023-12-12,10,2482.9436
SC47,2023-12-12,11,2482.9436
SC47,2023-12-12,12,2482.9436
SC47,2023-12-12,13,2482.9436
SC47,2023-12-12,14,2482.9436
SC47,2023-12-12,15,2482.9436
SC47,2023-12-12,16,2482.9436
SC47,2023-12-12,17,2482.9436
SC47,2023-12-12,18,2482.9436
SC47,2023-12-12,19,2482.9436
SC47,2023-12-12,20,2482.9436
SC47,2023-12-12,21,2482.9436
SC47,2023-12-12,22,2482.9436
SC47,2023-12-12,23,2482.9436
SC47,2023-12-13,0,2482.9436
SC47,2023-12-13,1,2482.9436
SC47,2023-12-13,2,2482.9436
SC47,2023-12-13,3,2482.9436
SC47,2023-12-13,4,2482.9436
SC47,2023-12-13,5,2482.9436
SC47,2023-12-13,6,2482.9436
SC47,2023-12-13,7,2482.9436
SC47,2023-12-13,8,2482.9436
SC47,2023-12-13,9,2482.9436
SC47,2023-12-13,10,2482.9436
SC47,2023-12-13,11,2482.9436
SC47,2023-12-13,12,2482.9436
SC47,2023-12-13,13,2482.9436
SC47,2023-12-13,14,2482.9436
SC47,2023-12-13,15,2482.9436
SC47,2023-12-13,16,2482.9436
SC47,2023-12-13,17,2482.9436
SC47,2023-12-13,18,2482.9436
SC47,2023-12-13,19,2482.9436
SC47,2023-12-13,20,2482.9436
SC47,2023-12-13,21,2482.9436
SC47,2023-12-13,22,2482.9436
SC47,2023-12-13,23,2482.9436
SC47,2023-12-14,0,2482.9436
SC47,2023-12-14,1,2482.9436
SC47,2023-12-14,2,2482.9436
SC47,2023-12-14,3,2482.9436
SC47,2023-12-14,4,2482.9436
SC47,2023-12-14,5,2482.9436
SC47,2023-12-14,6,2482.9436
SC47,2023-12-14,7,2482.9436
SC47,2023-12-14,8,2482.9436
SC47,2023-12-14,9,2482.9436
SC47,2023-12-14,10,2482.9436
SC47,2023-12-14,11,2482.9436
SC47,2023-12-14,12,2482.9436
SC47,2023-12-14,13,2482.9436
SC47,2023-12-14,14,2482.9436
SC47,2023-12-14,15,2482.9436
SC47,2023-12-14,16,2482.9436
SC47,2023-12-14,17,2482.9436
SC47,2023-12-14,18,2482.9436
SC47,2023-12-14,19,2482.9436
SC47,2023-12-14,20,2482.9436
SC47,2023-12-14,21,2482.9436
SC47,2023-12-14,22,2482.9436
SC47,2023-12-14,23,2482.9436
SC47,2023-12-15,0,2482.9436
SC47,2023-12-15,1,2482.9436
SC47,2023-12-15,2,2482.9436
SC47,2023-12-15,3,2482.9436
SC47,2023-12-15,4,2482.9436
SC47,2023-12-15,5,2482.9436
SC47,2023-12-15,6,2482.9436
SC47,2023-12-15,7,2482.9436
SC47,2023-12-15,8,2482.9436
SC47,2023-12-15,9,2482.9436
SC47,2023-12-15,10,2482.9436
SC47,2023-12-15,11,2482.9436
SC47,2023-12-15,12,2482.9436
SC47,2023-12-15,13,2482.9436
SC47,2023-12-15,14,2482.9436
SC47,2023-12-15,15,2482.9436
SC47,2023-12-15,16,2482.9436
SC47,2023-12-15,17,2482.9436
SC47,2023-12-15,18,2482.9436
SC47,2023-12-15,19,2482.9436
SC47,2023-12-15,20,2482.9436
SC47,2023-12-15,21,2482.9436
SC47,2023-12-15,22,2482.9436
SC47,2023-12-15,23,2482.9436
SC47,2023-12-16,0,2482.9436
SC47,2023-12-16,1,2482.9436
SC47,2023-12-16,2,2482.9436
SC47,2023-12-16,3,2482.9436
SC47,2023-12-16,4,2482.9436
SC47,2023-12-16,5,2482.9436
SC47,2023-12-16,6,2482.9436
SC47,2023-12-16,7,2482.9436
SC47,2023-12-16,8,2482.9436
SC47,2023-12-16,9,2482.9436
SC47,2023-12-16,10,2482.9436
SC47,2023-12-16,11,2482.9436
SC47,2023-12-16,12,2482.9436
SC47,2023-12-16,13,2482.9436
SC47,2023-12-16,14,2482.9436
SC47,2023-12-16,15,2482.9436
SC47,2023-12-16,16,2482.9436
SC47,2023-12-16,17,2482.9436
SC47,2023-12-16,18,2482.9436
SC47,2023-12-16,19,2482.9436
SC47,2023-12-16,20,2482.9436
SC47,2023-12-16,21,2482.9436
SC47,2023-12-16,22,2482.9436
SC47,2023-12-16,23,2482.9436
SC47,2023-12-17,0,2482.9436
SC47,2023-12-17,1,2482.9436
SC47,2023-12-17,2,2482.9436
SC47,2023-12-17,3,2482.9436
SC47,2023-12-17,4,2482.9436
SC47,2023-12-17,5,2482.9436
SC47,2023-12-17,6,2482.9436
SC47,2023-12-17,7,2482.9436
SC47,2023-12-17,8,2482.9436
SC47,2023-12-17,9,2482.9436
SC47,2023-12-17,10,2482.9436
SC47,2023-12-17,11,2482.9436
SC47,2023-12-17,12,2482.9436
SC47,2023-12-17,13,2482.9436
SC47,2023-12-17,14,2482.9436
SC47,2023-12-17,15,2482.9436
SC47,2023-12-17,16,2482.9436
SC47,2023-12-17,17,2482.9436
SC47,2023-12-17,18,2482.9436
SC47,2023-12-17,19,2482.9436
SC47,2023-12-17,20,2482.9436
SC47,2023-12-17,21,2482.9436
SC47,2023-12-17,22,2482.9436
SC47,2023-12-17,23,2482.9436
SC47,2023-12-18,0,2482.9436
SC47,2023-12-18,1,2482.9436
SC47,2023-12-18,2,2482.9436
SC47,2023-12-18,3,2482.9436
SC47,2023-12-18,4,2482.9436
SC47,2023-12-18,5,2482.9436
SC47,2023-12-18,6,2482.9436
SC47,2023-12-18,7,2482.9436
SC47,2023-12-18,8,2482.9436
SC47,2023-12-18,9,2482.9436
SC47,2023-12-18,10,2482.9436
SC47,2023-12-18,11,2482.9436
SC47,2023-12-18,12,2482.9436
SC47,2023-12-18,13,2482.9436
SC47,2023-12-18,14,2482.9436
SC47,2023-12-18,15,2482.9436
SC47,2023-12-18,16,2482.9436
SC47,2023-12-18,17,2482.9436
SC47,2023-12-18,18,2482.9436
SC47,2023-12-18,19,2482.9436
SC47,2023-12-18,20,2482.9436
SC47,2023-12-18,21,2482.9436
SC47,2023-12-18,22,2482.9436
SC47,2023-12-18,23,2482.9436
SC47,2023-12-19,0,2482.9436
SC47,2023-12-19,1,2482.9436
SC47,2023-12-19,2,2482.9436
SC47,2023-12-19,3,2482.9436
SC47,2023-12-19,4,2482.9436
SC47,2023-12-19,5,2482.9436
SC47,2023-12-19,6,2482.9436
SC47,2023-12-19,7,2482.9436
SC47,2023-12-19,8,2482.9436
SC47,2023-12-19,9,2482.9436
SC47,2023-12-19,10,2482.9436
SC47,2023-12-19,11,2482.9436
SC47,2023-12-19,12,2482.9436
SC47,2023-12-19,13,2482.9436
SC47,2023-12-19,14,2482.9436
SC47,2023-12-19,15,2482.9436
SC47,2023-12-19,16,2482.9436
SC47,2023-12-19,17,2482.9436
SC47,2023-12-19,18,2482.9436
SC47,2023-12-19,19,2482.9436
SC47,2023-12-19,20,2482.9436
SC47,2023-12-19,21,2482.9436
SC47,2023-12-19,22,2482.9436
SC47,2023-12-19,23,2482.9436
SC47,2023-12-20,0,2482.9436
SC47,2023-12-20,1,2482.9436
SC47,2023-12-20,2,2482.9436
SC47,2023-12-20,3,2482.9436
SC47,2023-12-20,4,2482.9436
SC47,2023-12-20,5,2482.9436
SC47,2023-12-20,6,2482.9436
SC47,2023-12-20,7,2482.9436
SC47,2023-12-20,8,2482.9436
SC47,2023-12-20,9,2482.9436
SC47,2023-12-20,10,2482.9436
SC47,2023-12-20,11,2482.9436
SC47,2023-12-20,12,2482.9436
SC47,2023-12-20,13,2482.9436
SC47,2023-12-20,14,2482.9436
SC47,2023-12-20,15,2482.9436
SC47,2023-12-20,16,2482.9436
SC47,2023-12-20,17,2482.9436
SC47,2023-12-20,18,2482.9436
SC47,2023-12-20,19,2482.9436
SC47,2023-12-20,20,2482.9436
SC47,2023-12-20,21,2482.9436
SC47,2023-12-20,22,2482.9436
SC47,2023-12-20,23,2482.9436
SC47,2023-12-21,0,2482.9436
SC47,2023-12-21,1,2482.9436
SC47,2023-12-21,2,2482.9436
SC47,2023-12-21,3,2482.9436
SC47,2023-12-21,4,2482.9436
SC47,2023-12-21,5,2482.9436
SC47,2023-12-21,6,2482.9436
SC47,2023-12-21,7,2482.9436
